date,num_zone,name_zone,traitement,ind,masse_bouchees,height,circ,reit_bas_tot,reit_bas_part,nb_c2_c1,c3,sex,h1,h2,h3
1/6/2024,3,Station_epuration,H,3H1,0.788,236,11,6,20,118,1,0,70,100,76
1/6/2024,3,Station_epuration,H,3H2,0.712,240,10,0,28,63,1,0,31,69,53
1/6/2024,3,Station_epuration,H,3H3,0.548,297,20,1,19,51,1,0,80,194,100
1/6/2024,3,Station_epuration,H,3H4,0.391,290,10,1,4,38,1,0,51,44,54
1/6/2024,3,Station_epuration,H,3H5,0.974,207,14,3,14,64,1,0,93,69,116
1/6/2024,3,Station_epuration,C,3T1,4.781,490,25,0,0,95,1,0,90,173,152
1/6/2024,3,Station_epuration,C,3T2,1.155,342,12,0,9,52,1,1,157,95,135
1/6/2024,3,Station_epuration,C,3T3,2.26,300,13,0,0,41,1,0,40,147,100
1/6/2024,3,Station_epuration,C,3T4,1.5,260,10,0,0,64,1,0,148,80,80
1/6/2024,3,Station_epuration,C,3T5,0.516,420,13,0,0,44,1,1,70,120,40
2/6/2024,8,Fontasse_bas,H,8H1,1.016,154,17,2,15,83,0,0,109,126,123
2/6/2024,8,Fontasse_bas,H,8H2,1.704,270,15,1,17,85,0,0,116,80,81
2/6/2024,8,Fontasse_bas,H,8H3,1.497,240,13,1,12,40,1,0,46,60,95
2/6/2024,8,Fontasse_bas,H,8H4,1.85,190,11,0,4,78,1,0,12,96,110
2/6/2024,8,Fontasse_bas,H,8H5,3.465,270,20,1,15,66,1,0,133,25,163
2/6/2024,8,Fontasse_bas,C,8T1,3.939,256,13,1,4,57,1,0,54,110,80
2/6/2024,8,Fontasse_bas,C,8T2,1.533,418,18,0,18,187,1,1,160,222,118
2/6/2024,8,Fontasse_bas,C,8T3,1.785,270,9,1,0,18,1,1,55,82,108
2/6/2024,8,Fontasse_bas,C,8T4,1.758,287,10,0,6,40,1,0,33,120,90
2/6/2024,8,Fontasse_bas,C,8T5,2.78,260,12,0,2,49,1,1,70,110,80
2/6/2024,7,Fontasse_haut,H,7H1,1.08,202,14,5,22,60,0,0,111,83,70
2/6/2024,7,Fontasse_haut,H,7H2,0.586,165,13.5,3,13,72,0,0,70,70,48
2/6/2024,7,Fontasse_haut,H,7H3,0.784,145,14,3,18,56,0,0,54,64,73
2/6/2024,7,Fontasse_haut,H,7H4,1.153,172,10,1,49,138,1,0,86,93,80
2/6/2024,7,Fontasse_haut,H,7H5,0.785,200,13,8,19,126,1,0,80,116,90
2/6/2024,7,Fontasse_haut,C,7T1,0.209,360,14,0,1,30,1,1,7,56,140
2/6/2024,7,Fontasse_haut,C,7T2,3.493,260,12,0,0,28,1,1,5,38,122
2/6/2024,7,Fontasse_haut,C,7T3,2.392,340,13,0,5,45,1,1,160,83,95
2/6/2024,7,Fontasse_haut,C,7T4,3.207,310,20.5,1,1,40,1,1,17,180,214
2/6/2024,7,Fontasse_haut,C,7T5,NA,254,11,0,0,45,1,0,3,103,110
2/6/2024,4,Trois_oliviers,C,4T2,1.7,310,12,0,4,52,1,0,73,95,80
