molecule;code ;sites;traitement;echan;replicat;do
tanin;etalon;NA;NA;0;NA;0,034600001
tanin;etalon;NA;NA;10;NA;0,037900001
tanin;etalon;NA;NA;50;NA;0,0385
tanin;etalon;NA;NA;100;NA;0,040899999
tanin;etalon;NA;NA;200;NA;0,050000001
tanin;etalon;NA;NA;400;NA;0,061500002
tanin;etalon;NA;NA;800;NA;0,088100001
tanin;etalon;NA;NA;1000;NA;0,100199997
tanin;FBH1;FB;H;1;1;0,989400029
tanin;FBH1;FB;H;1;2;0,875100017
tanin;FBH1;FB;H;1;3;0,861000001
tanin;FBH2;FB;H;2;1;1,110999942
tanin;FBH2;FB;H;2;2;1,033200026
tanin;FBH2;FB;H;2;3;0,925999999
tanin;FBH3;FB;H;3;1;1,058699965
tanin;FBH3;FB;H;3;2;1,031900048
tanin;FBH3;FB;H;3;3;1,062600017
tanin;FBH4;FB;H;4;1;1,003600001
tanin;FBH4;FB;H;4;2;1,012599945
tanin;FBH4;FB;H;4;3;1,092599988
tanin;FBH5;FB;H;5;1;1,093099952
tanin;FBH5;FB;H;5;2;1,054800034
tanin;FBH5;FB;H;5;3;0,838500023
tanin;FBT1;FB;T;1;1;1,106699944
tanin;FBT1;FB;T;1;2;1,14230001
tanin;FBT1;FB;T;1;3;0,899699986
tanin;FBT2;FB;T;2;1;1,122699976
tanin;FBT2;FB;T;2;2;1,083299994
tanin;FBT2;FB;T;2;3;1,006299973
tanin;FBT3;FB;T;3;1;1,200600028
tanin;FBT3;FB;T;3;2;1,176699996
tanin;FBT3;FB;T;3;3;1,048599958
tanin;FBT4;FB;T;4;1;0,083300002
tanin;FBT4;FB;T;4;2;0,121100001
tanin;FBT4;FB;T;4;3;0,106899999
tanin;FBT5;FB;T;5;1;0,076899998
tanin;FBT5;FB;T;5;2;0,111699998
tanin;FBT5;FB;T;5;3;0,101899996
tanin;SEH1;SE;H;1;1;0,125100002
tanin;SEH1;SE;H;1;2;0,061999999
tanin;SEH1;SE;H;1;3;0,104500003
tanin;SEH2;SE;H;2;1;0,077299997
tanin;SEH2;SE;H;2;2;0,073799998
tanin;SEH2;SE;H;2;3;0,109300002
tanin;SEH3;SE;H;3;1;0,0858
tanin;SEH3;SE;H;3;2;0,151299998
tanin;SEH3;SE;H;3;3;0,108000003
tanin;SEH4;SE;H;4;1;0,141499996
tanin;SEH4;SE;H;4;2;0,095200002
tanin;SEH4;SE;H;4;3;0,108499996
tanin;SEH5;SE;H;5;1;0,109999999
tanin;SEH5;SE;H;5;2;0,101400003
tanin;SEH5;SE;H;5;3;0,093199998
tanin;SET1;SE;T;1;1;0,140799999
tanin;SET1;SE;T;1;2;0,081900001
tanin;SET1;SE;T;1;3;0,123800002
tanin;SET2;SE;T;2;1;0,151099995
tanin;SET2;SE;T;2;2;0,147799999
tanin;SET2;SE;T;2;3;0,148499995
