zone;ind;traitement;masse_fraiche;masse_seche;masse_seche_mg;leaf_areaJ_;leaf_areaA_;leaf_areaG_;leaf_areaJ;leaf_areaA;leaf_areaG
Station_epuration;1;H;3.092;1.433;1433;146.001;146.803;149.665;14600.1;14680.3;14966.5
Station_epuration;2;H;2.652;1.151;1151;115.672;111.722;115.311;11567.2;11172.2;11531.1
Station_epuration;3;H;3.651;1.574;1574;117.431;118.727;118.941;11743.1;11872.7;11894.1
Station_epuration;4;H;2.022;0.759;759;103.966;105.795;104.628;10396.6;10579.5;10462.8
Station_epuration;5;H;2.443;1.064;1064;113.607;115.154;110.93;11360.7;11515.4;11093
Station_epuration;1;C;2.451;1.162;1162;135.638;136.586;136.693;13563.8;13658.6;13669.3
Station_epuration;2;C;3.736;1.627;1627;195.831;196.677;193.763;19583.1;19667.7;19376.3
Station_epuration;3;C;3.623;1.539;1539;166.196;161.069;166.335;16619.6;16106.9;16633.5
Station_epuration;4;C;3.004;1.237;1237;151.648;156.869;151.943;15164.8;15686.9;15194.3
Station_epuration;5;C;3.043;1.393;1393;134.095;137.622;136.301;13409.5;13762.2;13630.1
Fontasse_bas;1;H;2.54;1.178;1178;103.058;100.824;104.087;10305.8;10082.4;10408.7
Fontasse_bas;2;H;2.583;1.215;1215;129.668;128.009;129.208;12966.8;12800.9;12920.8
Fontasse_bas;3;H;2.195;1.153;1153;109.721;113.739;113.137;10972.1;11373.9;11313.7
Fontasse_bas;4;H;2.885;1.276;1276;153.682;152.826;149.931;15368.2;15282.6;14993.1
Fontasse_bas;5;H;2.956;1.31;1310;133.784;136.562;135.521;13378.4;13656.2;13552.1
Fontasse_bas;1;C;4.324;1.805;1805;150.064;151.605;154.17;15006.4;15160.5;15417
Fontasse_bas;2;C;3.932;1.69;1690;142.346;143.251;141.779;14234.6;14325.1;14177.9
Fontasse_bas;3;C;4.82;2.27;2270;193.329;194.356;190.324;19332.9;19435.6;19032.4
Fontasse_bas;4;C;2.856;1.334;1334;145.416;150.647;146.541;14541.6;15064.7;14654.1
Fontasse_bas;5;C;4.120;1.956;1956;186.708;182.074;186.19;18670.8;18207.4;18619
Fontasse_haut;1;H;2.743;1.186;1186;128.295;130.951;133.649;12829.5;13095.1;13364.9
Fontasse_haut;2;H;2.613;1.04;1040;111.59;114.573;115.795;11159;11457.3;11579.5
Fontasse_haut;3;H;2.38;1.212;1212;109.819;112.874;111.464;10981.9;11287.4;11146.4
Fontasse_haut;4;H;1.925;0.872;872;82.117;85.604;79.84;8211.7;8560.4;7984
Fontasse_haut;5;H;2.793;1.25;1250;114.073;116.565;112.452;11407.3;11656.5;11245.2
Fontasse_haut;1;C;2.851;1.257;1257;121.117;121.69;125.375;12111.7;12169;12537.5
Fontasse_haut;2;C;3.43;1.543;1543;136.179;133.351;141.646;13617.9;13335.1;14164.6
Fontasse_haut;3;C;3.832;1.348;1348;151.675;154.399;153.874;15167.5;15439.9;15387.4
Fontasse_haut;4;C;4.411;1.831;1831;161.785;162.529;162.762;16178.5;16252.9;16276.2
Fontasse_haut;5;C;NA;NA;#VALEUR!;NA;NA;NA;#VALEUR!;#VALEUR!;#VALEUR!
Trois_oliviers;1;H;3.624;1.893;1893;144.278;143.818;140.338;14427.8;14381.8;14033.8
Trois_oliviers;2;H;3.62;1.776;1776;132.683;129.791;133.263;13268.3;12979.1;13326.3
Trois_oliviers;3;H;2.722;1.308;1308;102.85;105.631;105.859;10285;10563.1;10585.9
Trois_oliviers;4;H;3.868;1.593;1593;132.258;130.031;132.872;13225.8;13003.1;13287.2
Trois_oliviers;5;H;3.015;1.269;1269;118.241;122.983;120.392;11824.1;12298.3;12039.2
Trois_oliviers;1;C;2.707;1.491;1491;139.341;142.586;143.138;13934.1;14258.6;14313.8
Trois_oliviers;2;C;2.445;1.308;1308;118.288;122.764;121.487;11828.8;12276.4;12148.7
Trois_oliviers;3;C;2.666;1.168;1168;129.679;132.006;132.687;12967.9;13200.6;13268.7
Trois_oliviers;4;C;4.885;2.141;2141;161.99;164.849;165.873;16199;16484.9;16587.3
Trois_oliviers;5;C;2.821;1.377;1377;146.016;145.499;148.922;14601.6;14549.9;14892.2
Coudougnou;1;H;3.451;1.638;1638;138.076;142.052;139.183;13807.6;14205.2;13918.3
Coudougnou;2;H;4.026;1.291;1291;160.785;156.049;158.196;16078.5;15604.9;15819.6
Coudougnou;3;H;2.614;1.161;1161;119.892;121.664;124.085;11989.2;12166.4;12408.5
Coudougnou;4;H;NA;NA;#VALEUR!;NA;NA;NA ;#VALEUR!;#VALEUR!;#VALEUR!
Coudougnou;5;H;NA;NA;#VALEUR!;NA;NA;NA ;#VALEUR!;#VALEUR!;#VALEUR!
Coudougnou;1;C;4.345;1.814;1814;186.557;185.783;188.749;18655.7;18578.3;18874.9
Coudougnou;2;C;2.79;1.848;1848;116.171;117.05;119.38;11617.1;11705;11938
Coudougnou;3;C;2.355;1.135;1135;119.423;118.896;119.362;11942.3;11889.6;11936.2
Coudougnou;4;C;3.026;1.578;1578;156.234;151.477;153.726;15623.4;15147.7;15372.6
Coudougnou;5;C;2.017;1.06;1060;107.563;105.396;108.251;10756.3;10539.6;10825.1
Fumier;1;H;3.639;1.592;1592;174.151;171.501;172.014;17415.1;17150.1;17201.4
Fumier;2;H;3.80;1.855;1855;159.442;164.133;161.311;15944.2;16413.3;16131.1
Fumier;3;H;5.024;1.856;1856;215.142;212.814;214.206;21514.2;21281.4;21420.6
Fumier;4;H;3.336;1.402;1402;157.697;151.436;155.001;15769.7;15143.6;15500.1
Fumier;5;H;2.691;1.4;1400;134.243;140.622;137.314;13424.3;14062.2;13731.4
Fumier;1;C;5.076;2.607;2607;205.741;202.831;202.147;20574.1;20283.1;20214.7
Fumier;2;C;3.634;2.1;2100;189.741;187.561;185.336;18974.1;18756.1;18533.6
